File,Result,D_B,D_C,D_L,D_R,D_S,D_E(%),nNodes,nEdges,nSegRelEdges,dPairs,segPairErrors,nodeCorrect,edgeDiffClassCount,undirDiffClassCount,nSeg,detectedSeg,dSegRelEdges,CorrectSegments,CorrectSegmentsAndClass,ClassError,CorrectSegRels,CorrectSegRelLocations,SegRelErrors,hasCorrectSegments,hasCorrectSegLab,hasCorrectRelationLocations,hasCorrectRelLab,hasCorrectStructure
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_104_em_77.lg, Incorrect,49,14,35,15,20,0.5900085939064709,14,182,9,24,10,0,2,1,10,7,0,1,0,10,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_104_em_78.lg, Incorrect,79,23,56,22,34,0.5306304497737571,23,506,17,38,17,0,2,1,18,8,0,1,0,18,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_104_em_79.lg, Incorrect,24,9,15,9,6,0.5817035330608171,9,72,6,12,3,0,0,0,7,5,0,2,0,7,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_104_em_80.lg, Incorrect,18,5,13,1,12,0.8602741480237794,5,20,4,7,6,0,0,0,5,1,0,0,0,5,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_104_em_81.lg, Incorrect,64,18,46,14,32,0.5400008230089448,19,342,16,29,16,0,2,1,17,6,0,0,0,17,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_104_em_82.lg, Incorrect,34,10,24,10,14,0.6369343661225434,10,90,6,16,7,0,2,1,7,5,0,1,0,7,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_104_em_83.lg, Incorrect,38,12,26,10,16,0.5973226647368977,12,132,8,18,8,0,0,0,9,6,0,0,0,9,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_104_em_84.lg, Incorrect,12,5,7,3,4,0.6796071912699732,5,20,4,5,2,0,0,0,5,2,0,0,0,5,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_104_em_85.lg, Incorrect,55,17,38,20,18,0.5436734595039882,17,272,13,28,9,0,2,1,14,7,0,1,0,14,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_104_em_86.lg, Incorrect,206,45,161,87,74,0.4928258193836606,45,1980,26,116,37,0,16,8,27,18,0,1,0,27,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_104_em_87.lg, Incorrect,14,5,9,3,6,0.7395143169183677,5,20,4,6,3,0,0,0,5,2,0,1,0,5,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_104_em_88.lg, Incorrect,9,4,5,3,2,0.6845818382772553,4,12,2,4,1,0,0,0,3,2,0,1,0,3,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_104_em_89.lg, Incorrect,30,9,21,11,10,0.6375799070390956,9,72,5,15,5,0,2,1,6,3,0,1,0,6,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_104_em_90.lg, Incorrect,53,22,31,17,14,0.47770449909910995,22,462,20,24,7,0,0,0,21,11,0,5,0,21,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_104_em_91.lg, Incorrect,27,9,18,4,14,0.6469861839480328,9,72,8,11,7,0,0,0,9,2,0,0,0,9,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_104_em_92.lg, Incorrect,72,17,55,33,22,0.5780237711208579,17,272,10,41,11,0,6,3,11,8,0,1,0,11,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_104_em_93.lg, Incorrect,21,5,16,8,8,0.8422942410111972,5,20,3,10,4,0,4,2,3,1,0,0,0,3,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_104_em_94.lg, Incorrect,82,22,60,24,36,0.5465067493992549,22,462,15,42,18,0,0,0,16,8,0,0,0,16,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_104_em_95.lg, Incorrect,28,10,18,8,10,0.5935156429444305,10,90,8,13,5,0,0,0,9,4,0,1,0,9,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_104_em_96.lg, Incorrect,16,5,11,3,8,0.7913584602477474,5,20,2,7,4,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_104_em_97.lg, Incorrect,54,17,37,13,24,0.5552886386504562,17,272,14,24,12,0,2,1,15,7,0,3,0,15,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_104_em_98.lg, Incorrect,32,11,21,5,16,0.6061054948169627,11,110,10,13,8,0,0,0,11,5,0,2,0,11,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_104_em_99.lg, Incorrect,73,26,47,19,28,0.49215023515990036,26,650,23,32,14,0,2,1,24,10,0,2,0,24,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_105_em_100.lg, Incorrect,15,6,9,3,6,0.6649787176683747,6,30,5,6,3,0,0,0,6,2,0,1,0,6,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_105_em_101.lg, Incorrect,9,3,6,0,6,1.0,3,6,2,3,3,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0
